值,count
书籍,6502367
文学作品,4861572
小说作品,4482043
小说,4411422
娱乐作品,3377421
人物,3297327
网络小说,2971820
组织机构,2594565
中国文学,2564141
出版物,2460556
社会,1577617
文学书籍,1552601
地点,1338063
公司,1254995
科学,1017353
文化,1014943
字词,908146
行业人物,872208
玄幻小说,774526
游戏,756303
食品,723261
地理,674774
语言,658471
言情小说,645981
游戏作品,588571
科技产品,526886
体育人物,468569
生活,451495
生物物种,417958
政治人物,417463
学校,416412
软件,352222
自然,352044
菜品,347116
电子产品,338462
村庄,324720
足球运动员,321087
酒店,300124
足球,298759
经济,296727
网页游戏,290625
历史,289715
官员,288326
网站,287988
教师,287119
娱乐人物,275799
植物,262816
动物,258041
电影,243323
运动员,228504
词语,226571
娱乐,220220
教育,214220
中国其他行政区划,213475
音乐作品,190563
行政区划,189657
大学教师,184921
公文,182737
工业产品,171614
轴承,167487
自然地理,166162
医生,162689
品牌,162092
电器,161577
旅游,159645
学科,159048
诗词,157852
医学,155728
青春小说,148242
文学,147927
成语,139059
单曲,136734
疾病,136603
电子游戏,134197
教育机构,133587
科研人员,133208
中药,130222
穿越小说,128466
电影作品,127803
文物考古,127214
教育学家,127008
生物,124437
建筑,123000
经管书籍,122466
flash游戏,122199
中小学,120873
艺术家,119296
政治,118991
社会团体,117447
理学,110604
科研机构,108461
工业书籍,106677
文化人物,106202
音乐,105989
笔记本电脑,105162
演员,105109
影视作品,104316
经济人物,103644
手机,103410
科技,102961
药品,102904
景点,102334
动漫形象,100241
益智游戏,99466
计算机学,98468
法律,97539
模拟游戏,97429
军事人物,95220
社科书籍,91542
艺术书籍,91190
乡镇,85555
中国历史人物,84311
学者,81809
历史人物,80545
互联网,78360
历史书籍,76950
营业场所,75000
体育,74255
景观景点,74159
社会活动,74055
社会事件,72204
剧情电影,72124
美术家,71850
饮食,71072
技术,70167
计算机书籍,68493
文学家,68455
工程师,65456
电视剧,64713
互联网产品,64570
科幻小说,64194
军事,64035
考试书籍,62772
美术,62586
医学家,61684
动作游戏,61235
古代史,59983
虚拟人物,59851
医学书籍,59748
地形地貌,59188
手机游戏,57675
电视剧作品,56609
武侠小说,55104
烈士,54372
武器装备,53860
宗教人物,53570
外国行政区划,52581
楼盘,52370
教授,51684
车站,51473
交通,50932
医学术语,50425
社区区划,50400
政府机构,47794
化学,47231
漫画,46701
宗教,45592
医院,45534
研究员,45086
作家,43069
街区路,42515
专辑,42109
文化活动,41661
音乐人物,41456
艺术作品,41346
中医,40860
计算机术语,40527
政治军事书籍,40427
交通设施,40243
流行音乐,40156
文化术语,40004
科学百科工程技术分类,39483
中学,39263
科学家,39172
期刊,38909
法律书籍,38303
歌曲,38018
体育其他,37866
中国历史,37416
文物古迹,36664
微生物,36155
中国大学,35842
恐怖小说,35435
中国地名,35402
励志书籍,35182
俱乐部,34501
射击游戏,34390
病毒,33015
医学人物,32574
化工产品,31920
体育项目,31824
保健书籍,31795
农学,31275
历史事件,30788
旅游机构,30280
冒险游戏,29195
自然学科,28985
古诗,28907
足球俱乐部,28445
天体,28120
将领,26869
化妆品,26678
动画,26671
大陆演员,26473
动漫,26416
数码,26243
生活用品,26121
公园,26040
民族,25658
化学品,25595
社区,25435
画家,25000
奖项,24767
科技术语,24628
职业学校,24582
歌手,24181
外国历史,23240
文化节,22960
非地理,22930
话题人物,22577
法律法规,22526
剧情剧,22449
喜剧电影,22353
教育书籍,22119
管理学,22095
幼儿园,21588
高中教师,21333
种子植物门,21293
非体育,21176
策略游戏,20677
非教师,20637
戏剧,20612
被子植物亚门,20560
博物馆,20426
饮品,20129
城市,19635
角色扮演游戏,19040
动作电影,18954
漫画作品,18766
惊悚电影,18749
生物学,18738
战争,17988
报纸,17966
天文,17467
协会,17084
民俗,17059
推理小说,16965
心理书籍,16651
航空航天,16413
体育赛事,16168
导演,16013
科学百科药物分类,15935
动漫人物,15836
爱情电影,15770
休闲食品,15761
动漫作品,15532
交通线路,15516
遗址,15503
近代史,15374
外国历史事件,15236
清朝,15133
历史著作,15132
物理学,14812
科学百科生命科学分类,14745
地理学术语,14182
城镇,14133
文学形象,13767
工业技术,13652
软体动物,13596
相机,13240
影视演员,13187
科学百科信息科学分类,13019
科学百科疾病症状分类,12990
模特,12989
特产,12929
茶,12874
小学,12871
双子叶植物纲,12816
中国行政区划,12797
疗法,12770
机械工程,12764
山脉,12620
火车站,12591
交通工具,12511
经济术语,12434
烹饪书籍,12222
曲艺家,12160
文化设施,12122
哲学,12067
典故,11889
艺术,11842
会计师,11733
采矿工程,11710
舞蹈,11564
摄影,11526
篮球,11048
语言术语,10920
科学百科数理科学分类,10913
水利工程,10866
游戏形象,10523
心理学,10457
网络游戏,10211
现代史,10188
曲艺,10184
细菌,10093
国家,9983
雕塑,9976
真菌,9918
法律术语,9884
教程,9830
虚拟物品,9792
非生物,9735
研究院,9727
历史机构,9438
动画作品,9248
科幻电影,9234
古籍,9214
文言文,9189
通信技术,8955
外国历史人物,8626
自然现象,8621
体育设施,8599
生活术语,8592
大学,8506
港口,8408
汽车型号,8374
美术作品,8277
图书,8254
机场,8225
自然资源,8171
小学教师,8077
家具,8069
社会学科,7929
影视,7879
专有名词,7852
手机软件,7829
数学,7826
综艺节目,7811
体育组织,7808
科学百科环境生态分类,7804
科学百科地球科学分类,7702
电视,7573
仪器,7557
律师,7464
犯罪电影,7399
科学百科化学分类,7370
棋牌游戏,7256
科学百科农业科学分类,7227
散文,7204
字典,7192
时尚,7189
医学仪器,7177
编剧,7176
图书馆,7156
船舶工程,7093
河流,6915
爱情剧,6858
出版,6843
出版业,6795
科学百科航空航天分类,6728
电视剧形象,6705
美国演员,6583
外国大学,6560
医疗,6477
日本演员,6433
古生物,6265
宠物,6264
君主,6071
国家机构,5999
科学百科中医药分类,5908
院系,5893
物理化学,5786
金融,5727
香港电影,5714
操作系统,5702
中国历史事件,5639
局长,5612
自然保护区,5568
农作物,5525
中国通信学会,5506
哲学书籍,5426
木本植物,5415
科学百科心理学分类,5412
教练,5382
饮料,5365
工艺品,5347
论坛,5336
田径,5252
工艺,5117
院长,5068
搞笑剧,5063
军事事件,5011
通讯,5004
事业单位,4894
熟语,4886
交通术语,4663
省份,4660
科学百科其他分类,4459
词,4437
动画电影,4396
当代历史事件,4307
美容,4296
自然灾害,4283
娱乐术语,4243
企业家,4238
商业俱乐部,4206
节日,4186
文化用品,4183
演出,4159
篮球运动员,4155
贝类动物,4124
腹足纲动物,4060
中国高校,4035
时间,3993
主持人,3963
现代历史事件,3956
时间单位,3956
时光机,3954
岛屿,3950
格斗游戏,3947
小吃,3862
主席,3772
地方所属高校,3748
纪实节目,3729
中国各级行政区划,3721
寺庙,3654
物理学家,3638
游泳,3605
西药,3604
艺术品,3599
建筑工程,3526
台式电脑,3515
摇滚音乐,3467
初中教师,3466
酒,3433
清朝人物,3423
地名,3409
电脑,3403
汉语,3378
贵族,3366
古装剧,3362
电力工程,3356
公办高校,3322
中国化工学会,3301
摄影术语,3282
城市地区,3272
美国电影,3259
神话,3251
中国电子学会,3234
中华人民共和国,3232
各国行政区划,3228
植物药,3214
犯罪剧,3199
科学百科天文学分类,3166
互联网人物,3163
乐队,3149
音乐组合,3136
鸟类,3038
花卉,3031
专科高校,3030
书画家,3018
非娱乐作品,2987
美容书籍,2983
音乐风格,2907
地方特产,2880
韩国演员,2869
元首,2835
水上项目,2824
古代历史事件,2813
网络红人,2779
武术家,2769
书画,2764
艺术团,2760
非足球,2758
战争剧,2696
书法,2693
水电站,2692
田径运动员,2666
排球,2657
科学百科诊疗方法分类,2643
汽车零部件,2626
各国历史,2603
桥梁,2540
国学,2538
汽车,2532
佛教,2523
土木工程,2503
足球比赛,2488
中国乡镇,2475
网球,2474
股票名称,2428
中国水产学会,2416
神话人物,2415
重竞技运动员,2412
生物化学,2382
非遗非遗,2322
香港演员,2289
英语,2288
自然科学,2282
动作剧,2280
耳机,2277
国家级非遗,2266
民族音乐,2257
演艺人物,2253
建筑术语,2250
森林公园,2230
英文单词,2219
公路,2205
文娱比赛,2203
船舶,2202
中国汽车学会,2198
制作人,2136
外国文学,2134
摄像机,2127
疾病症状,2106
经济学家,2102
羽毛球,2100
水利部发展研究中心,2058
展会,2035
居委会,2023
汉字,2002
本科高校,1984
棋类,1977
冬季项目,1962
足球教练,1960
历史学家,1955
管理学术语,1919
穴位,1901
中国乡级行政区划,1898
草本植物,1888
银行,1877
娱乐明星,1875
名人,1867
手术,1864
人类学,1859
中国体育学会,1828
建筑学,1804
中国力学学会,1802
哲学家,1800
鱼类,1795
中国核学会,1788
电脑病毒,1782
非科学,1771
生物学家,1761
武术,1749
科幻剧,1744
剧情片,1738
娱乐设备,1735
声优,1730
文字,1729
喜剧片,1727
基金会,1725
期刊杂志,1724
中国食品科学技术学会,1719
化学家,1716
报刊,1702
数学家,1691
大牌,1686
大众媒体,1680
高速公路,1662
广场,1657
中国电影,1654
音乐术语,1648
历法,1636
高等职业技术院校,1633
果蔬,1626
鳞翅目昆虫,1618
县,1599
电视节目,1598
观赏植物,1564
英国演员,1559
县级行政区,1545
桌游,1536
动作片,1533
天文学家,1533
中国县级行政区划,1501
台湾演员,1499
杂文,1482
法院,1479
乒乓球,1476
行政村,1467
理工类高校,1432
神话形象,1405
文娱演出,1404
体育协会,1394
中国心理学会,1371
日历,1355
官方体育队,1349
电影形象,1334
导弹,1321
知名品牌,1320
统计学,1294
股票其他,1293
乡,1285
古典音乐,1283
昆虫,1279
出版社,1278
枪支,1245
编曲,1236
鞘翅目昆虫,1232
考古学,1232
纪念馆,1231
明星,1216
专科专业,1210
装备,1209
足球其他,1196
建筑师,1193
工具书,1168
空调,1164
编辑,1158
恐怖剧,1156
散曲,1141
足球国家队,1135
英语电影,1133
词汇,1131
书法家,1126
汉语词汇,1121
应用科学,1109
大陆音乐人,1098
摄影家,1086
企业,1085
航空公司,1080
团队,1066
休闲,1062
玄幻,1048
设施仪器,1045
汉语普通话电影,1041
冰箱,1033
益智小游戏,1030
法律机构,1024
体育术语,1014
教堂,1013
中国,997
日剧,995
经济组织,994
综合类高校,987
化学工程,977
四川人,973
学院,971
中国少将,971
棋士,953
电影术语,941
传媒,923
网络词语,908
景区,900
本科专业,896
电脑游戏,884
娱乐活动,881
足球场,878
社会科学,870
影视剧形象,859
产业经济,853
单机游戏,851
二战,848
足球术语,815
中国语言,801
日本电影,794
韩剧,776
组织,771
显卡,763
足球组织,760
心理学家,759
毛茛科,749
韩国电影,748
诗人,747
保健品,747
机构,734
英国电影,722
北京社区,719
社会组织,704
裁判,702
海洋科技,697
中国品牌,697
四川乡镇,686
现代诗,685
传播学,662
民办高校,659
中文书籍,654
矿物,650
台湾电影,646
恐怖电影,633
汽车术语,628
酸味菜,628
术语,623
电影奖项,616
移动计算机,609
诗歌,609
手提式计算机,609
政治学家,602
股票类术语,594
房地产,591
爱情片,576
大陆节目,573
川菜,557
乔木,556
股票沪市A股,555
港剧,553
中国气象学会,543
U盘,542
中国环境科学学会,531
词典,528
消费品,527
粤语电影,526
单子叶植物纲,525
美剧,514
泰剧,510
美国,505
主板,498
雕塑家,497
名著,496
北京乡镇,491
美国R级电影,491
中医著作,483
科学人物,481
股票H股,480
音箱,475
杂志,469
传记,464
中国内地电视剧,463
移动硬盘,456
日本,456
奢侈品牌,454
文物,450
美国剧情片,446
股票中小板,445
艺人,435
检查项目,434
药物,433
收藏家,432
道路,429
贴吧,428
中国古籍,427
中国上古人物,422
独立学院,422
中草药,422
乡村音乐,421
粤菜,420
热点人物,416
港台节目,416
台剧,416
师范类高校,415
传统技艺非遗,412
惊悚片,411
动画片,410
气象学,406
股票美股,403
日期,400
股票进阶术语,400
健康,398
各国电影,391
中国城市,389
各国电视剧,388
科学名词,387
中国街道,386
纪录片,385
洛阳市行政村,384
电视剧术语,384
大陆剧,382
基本物理概念,381
河南乡镇,380
湛江行政区划,379
书法篆刻,379
语言学家,375
大陆电影,371
被子植物门,368
梅州行政区划,368
建筑物,366
舞蹈家,363
短篇小说,363
三国,361
中国生物医学工程学会,357
高等教育,355
悬疑剧,353
服务器,351
乡村,350
音乐节目,348
泰国演员,348
欧洲历史,347
社会科学人物,346
文化遗产,342
咸鲜味菜,342
职业,340
各国地名,339
香烟名,338
股票,338
戏剧家,332
新闻学,331
旅游景点,331
党务知识,330
街道,328
网络,327
自由撰稿人,326
京剧,325
佛学常见词汇,323
三国人物,321
戏曲,320
摄影师,319
汉语词典,318
财经类高校,318
乡镇地名,317
医师,316
访谈节目,316
佛教术语,316
中国作家,315
肇庆行政区划,313
植物学,313
作品,312
江门行政区划,310
安徽乡镇,309
数码相机,309
自然科学家,305
绘画,304
个人,304
传统戏剧非遗,302
汽车品牌,302
湖南乡镇,301
工学类专业,300
益智,300
云南,299
著名作家,298
中国美术家协会,298
兰科,296
北京名人,294
医学名词,291
哺乳动物,291
浙江,291
服装鞋靴品牌,290
网络作家,290
书,289
美国音乐人,289
清淡味菜,286
